"X","a1","d","g","u"
"X1",6.01236436777789,-2.85503843114079,0.789477673471824,1
"X2",5.51342495553841,7.30753838174675,0.863560560620072,1
"X3",18.3151074412462,-9.375920805004,0.235112687622129,1
"X6",0.48135005499705,2.13827318026951,0.0356747045113691,1
"X7",11.6947192961078,-14.0119872876094,0.0161424500063321,1
"X8",7.19679529680216,12.278978583344,0.762168586935887,1
"X10",6.59577260502868,13.8457608329976,0.476279616798179,1
"X12",6.07807538876094,-0.741916380379686,0.578636129283909,1
"X13",7.15359906240758,3.18797242029342,0.889877390637423,1
"X15",10.7671616540978,-12.8921451833526,0.0795115667235756,1
"X16",8.71746373572196,-6.6000117110617,0.0782233367479098,1
"X17",0.846928397425765,-2.22521789760908,0.00133249634785387,1
"X18",0.821149944451638,1.13432133384476,0.00577118950971707,1
"X19",6.25068124563029,8.86155818447516,0.820155448943263,1
"X20",1.34034837930982,1.67839049990952,0.277032728258107,1
"X21",2.63230031908985,2.87656138771538,0.0541922035001571,1
"X24",-0.216477201989298,4.07555332644718,0.14645804129592,1
"X26",1.53599308804139,-0.138314678033502,0.132716163249278,1
"X27",1.00252635564023,-0.643329303737542,0.000635318617114654,1
"X29",1.59381502434782,-1.39058719852557,0.246299392850188,1
"X30",-0.107791692551362,-3.45012686735608,0.0536428053480033,1
"X31",5.8659611764471,-7.5202122686551,0.166191372115079,1
"X32",2.96739962425137,8.55874124842695,0.0156079529090804,1
"X35",1.96249631977129,0.903143594941388,0.224815289849732,1
"X37",1.36400759259267,0.777351005388892,0.00147230920425193,1
"X39",-1.04456937102644,-4.59171859061345,0.000191817740425674,1
"X40",-0.83246094980804,-5.02657472724302,0.00023920333442225,1
"X41",0.962072395901851,1.72076746528806,0.0225845671215604,1
"X42",1.54179915120428,4.96266450336773,0.0222366139783396,1
"X43",5.48615896811801,7.14496401768052,0.869991749915443,1
"X45",8.93728505403601,2.41490342371624,0.811062875555288,1
"X48",1.62299874889789,-0.10269592271314,0.000496405964076334,1
"X49",8.85941151268168,8.04845456314581,0.713477940931573,1
"X54",4.68237005958359,7.40691460327022,0.93242533288679,1
"X55",0.918075868660117,3.55909766790904,0.0317346194616015,1
"X56",-0.0784527707537803,2.41504485897912,0.155535976057187,1
"X57",16.7905594135757,-7.11715809774192,0.138988036935762,1
"X58",0.844431391027918,4.77630481800675,0.212052138296048,1
"X59",4.60316495279096,-5.25777846651923,0.00015726735909903,1
"X60",0.773460617468896,1.27021412661378,0.0128022571008443,1
"X61",0.326815622186534,-3.61288448720495,0.0022471433462075,1
"X62",0.85226955361374,2.23559697066341,0.0311601014051495,1
"X64",0.741279100191924,1.62436905259464,0.00897260262874494,1
"X67",5.74231765319993,13.3115152133419,0.00637399029597104,1
"X68",11.5916691333552,-10.8849169592249,0.197138537646522,1
"X69",0.169862581366929,-0.306060580534917,0.0218866734964949,1
"X70",3.10455406009916,6.3005739925682,0.600208589769083,1
"X72",-5.28109676238917,-16.4091894349918,0.00010563272284901,1
"X73",7.31981891960337,15.2053218774856,0.336795077200454,1
"X76",5.61724194033064,3.90326379143964,0.353467209086174,1
"X77",-0.24103163308531,-1.61328509606375,0.0152447966689371,1
"X78",1.52361083118439,3.77300145666981,0.00988043450574948,1
"X82",2.73078974285324,-2.26188017739241,0.205064363218269,1
"X84",2.27853587753158,0.128230796305901,0.0426415869652191,1
"X85",5.72207163472172,8.19358392821897,0.630636197983206,1
"X86",3.51493544072567,-3.59600901017436,0.0408213585027571,1
"X88",0.106669171029423,0.626540676347713,0.233577868859803,1
"X93",6.37319079372974,-2.43243676594186,0.323520626418567,1
"X94",4.04332381456625,0.99026029576984,0.32629084339251,1
"X95",8.45850734792204,13.3018708444298,0.214382079625587,1
"X96",19.065147460853,-9.90113750886649,0.0711951443494256,1
"X97",1.99772680229946,-1.2832249864912,0.211543796787338,1
"X98",8.46981426344616,6.13121412537038,0.829759907037652,1
"X99",8.25551490044315,-9.71144689514033,0.122478999507557,1
"X100",0.436356124013923,4.19903569583285,0.152185827678512,1
"X103",2.59004630604743,-0.110364312038088,0.4883165938693,1
"X105",5.73969224654968,-10.1222207367325,0.0611728353783811,1
"X106",6.11669242278396,12.8761969894478,0.00540297018429767,1
"X108",0.691223272320644,0.475640087146038,0.200971514828476,1
"X109",1.42086972186577,4.72988573772057,0.0238656183315187,1
"X111",0.332356508970968,0.963960192348487,0.0126339944144965,1
"X114",1.78514368878251,-4.64418417520167,0.000141457349223163,1
"X115",2.85002979590525,4.6244174169045,0.939997655502038,1
"X116",14.8724927476213,-4.71486746888461,0.408065565821519,1
"X117",-0.728491981555181,-3.26808994254825,0.103517539009156,1
"X118",3.03273460552678,8.8416424189897,0.0156223853452745,1
"X119",6.10254025070821,-10.9299527959144,0.293853976339544,1
"X120",0.568080216098347,1.80891022580074,0.381261010175362,1
"X121",-0.177748307328955,0.544720284283017,0.548499591607639,1
"X124",3.53955458078629,-4.60148516670971,0.0232056605820812,1
"X127",12.3806270514907,-9.27538166405052,0.131309474317464,1
"X129",17.2200895544639,-12.0517814405295,0.000132689109002077,1
"X133",6.07619499564828,-5.78358364690405,0.000134500171411407,1
"X134",0.417253273268472,-3.57406707717974,0.00214560823891304,1
"X135",0.273148977872818,-0.3817432462659,0.0156447582960351,1
"X136",0.129382525814854,-3.84448503438518,0.0074815656588634,1
"X139",14.296934718651,-8.77648501651066,0.292751484397306,1
"X140",4.64727817426153,-0.220495000022035,0.767757644552551,1
"X141",0.151812434088471,1.21194486331632,0.123329758919844,1
"X145",9.94146622684656,16.165939144073,0.000983693063235324,1
"X146",-0.26570183061113,-4.46364685946534,0.00106868803276518,1
"X149",0.864075893562296,3.72031038702585,0.406057088177427,1
"X150",1.67915166768169,1.67891656362152,0.00139625082311246,1
"X152",7.31496357142252,10.338024353892,0.72785027664638,1
"X153",4.8107719998502,4.81379904932672,0.646478654137184,1
"X156",3.31296833631672,-2.03312134778032,0.0873620215365325,1
"X157",12.3167315298927,-5.7109476237713,0.460322822698279,1
"X159",11.8516916727448,-13.3218431216228,0.160835820076823,1
"X160",-1.01900049243764,-1.58993296851783,0.00108566040247957,1
"X162",2.54339011061137,1.56417231359496,0.504882213948631,1
"X164",9.58066726583504,-0.512831215696674,0.622937223575261,1
"X165",8.0346357341005,11.2382407800281,0.736951368205804,1
"X168",0.338696640406667,3.10194522297328,0.170378470927973,1
"X169",9.4796396391362,-5.95652205435743,0.291919521814159,1
"X171",1.57546335549134,0.463497450292431,0.895818314065204,1
"X173",0.0101669780500767,-3.21733693020922,0.0615484915432817,1
"X175",0.724926397355676,-0.504688821719836,0.0112549902979995,1
"X176",13.2862325536563,-12.6868837808709,0.0323899954726189,1
"X180",1.05644038353626,-1.04310018380207,0.0187679410249892,1
"X181",1.99034951753183,3.47924558999435,0.00288462202727898,1
"X182",3.50037791423163,3.05826012651708,0.913128530355042,1
"X183",13.6091808209303,-7.03485814971463,0.493143982715542,1
"X185",6.6616174248576,-7.71977176531264,0.0162831730866828,1
"X187",6.17127974572507,-13.5790829695467,0.0146510181637922,1
