"X","a1","d","g","u"
"X1",6.08882112842028,3.59084383369881,0.613048135496851,1
"X2",5.1648537499899,5.33112059769095,0.94520086928569,1
"X3",8.30224289685621,-1.32203271758875,0.1639404269361,1
"X5",7.37321492615659,12.2125526010287,0.784617740187729,1
"X6",0.188385495990364,1.87913492828981,0.0407676592586907,1
"X7",6.01925947969383,-5.71856000489542,0.0810858116946559,1
"X8",7.62886466113008,10.3957781434403,0.738167249754981,1
"X10",10.712595843607,18.5476001520557,0.625615715271463,1
"X12",3.55570715646774,0.81978375536365,0.331578681965061,1
"X13",2.95575982125126,2.81262317250483,0.769370942029426,1
"X15",4.26029823034754,-3.24080975226999,0.0606814393216078,1
"X16",3.71167471973077,-1.6353124983514,0.0664441058459772,1
"X17",1.79236801140266,-3.62033663167437,0.142398843110208,1
"X18",0.127511930511858,0.718564644142446,0.0315471217771357,1
"X19",2.04978743484652,5.0747024918813,0.0118719779485609,1
"X20",24.5638783127473,2.16971067554956,0.552028427374748,1
"X21",2.37100200134624,2.51353167457143,0.129874114096323,1
"X24",0.351391196765781,4.00325339536953,0.148049881932041,1
"X26",1.04702611239163,0.239658194055173,0.0342730049035466,1
"X27",0.773687792879934,-1.00086016597527,0.000462697160396556,1
"X29",3.54013179775491,-1.1796091398198,0.253080594840545,1
"X30",-0.239461361754303,-2.56718204368542,0.00499460024795476,1
"X31",2.52509983881758,-2.4860960211904,0.123548036565934,1
"X32",8.8637943890321,12.5339316738971,0.841320184666262,1
"X35",1.05656355550226,0.920822180448085,0.0849981360126514,1
"X37",0.931233444928509,0.630569324548245,0.000403614247923506,1
"X39",-1.20541045065881,-3.97326811053178,4.68994328833494e-05,1
"X40",-1.24142107187076,-5.11825179211948,3.78452450966794e-05,1
"X41",4.73806250014086,-1.38248818309961,0.72744898458042,1
"X42",2.2387124305704,4.84396623253295,0.682181899533381,1
"X43",6.72137074629559,10.7804610812471,0.899071341093765,1
"X44",-0.767578544266718,-5.63962499299126,7.52696312001777e-05,1
"X45",0.953551020981209,1.96701423292435,0.524203365746591,1
"X48",0.866765605854136,0.133005188497559,0.00186214210056118,1
"X49",9.31150851778458,8.32810115548999,0.855779608872001,1
"X52",0.2315628257686,3.9535155691046,0.143228861796615,1
"X54",1.77870013844181,5.56382370814107,0.767820268311961,1
"X55",1.08218253515158,3.22111845421234,0.00391031572870727,1
"X56",16.8617883660787,8.30425675832735,0.804855329134101,1
"X57",12.8606554384313,-1.79944680826952,0.0886878261598781,1
"X58",1.41883068640256,1.22512013340362,0.891349594993431,1
"X59",5.52399399291306,-4.81058511452159,0.0279354334160664,1
"X60",1.10290756797391,1.16253630903577,0.00988712937078251,1
"X61",-0.228589680795985,-3.65031995176501,0.00184571989012377,1
"X62",1.66436854286182,3.83263792852162,0.0030751204505014,1
"X64",0.91786353422933,1.44686158036186,0.15464281579233,1
"X67",2.25583644676924,4.96673999596913,0.00601642348230042,1
"X68",4.12539809688052,-2.24457305209064,0.172466972007989,1
"X69",-0.385196969608136,-0.316210366691369,0.0013512589862184,1
"X70",7.17719269424733,12.2581290540697,0.825431680875298,1
"X72",-1.40331387148993,-5.3891761795998,4.23292229714057e-05,1
"X73",8.19122120541165,17.2228427640389,0.271411364500562,1
"X76",2.4243288581691,3.52952185039977,0.000823274325247979,1
"X77",-0.00874474382805906,-1.63377345418258,0.0242994302634621,1
"X78",3.31361547054516,3.00156895789811,0.683484409673659,1
"X82",4.04225459958554,-1.28625627924009,0.294883036144294,1
"X84",1.51794035356845,-0.0256104988095721,0.222965345998673,1
"X85",2.73047578293072,6.43131304410757,0.0103961912276332,1
"X86",3.7653875981896,-2.13853178596736,0.0528935130949032,1
"X88",0.0590392124087907,1.05228913495169,0.0984221057688038,1
"X90",0.664710119763428,-5.28558878129326,0.000111157924934928,1
"X91",1.7787001384418,5.56382370814107,0.76782026831196,1
"X93",23.8274631664208,-5.31367761064129,0.379727221004793,1
"X94",2.82866834800901,0.86688285159072,0.478611730583512,1
"X95",3.0247483745989,3.78622576997144,0.200252795295548,1
"X96",7.57926171845467,-1.3488544292794,0.024680597540955,1
"X97",1.64986932836121,-0.08155587898204,0.00680248779524447,1
"X98",2.41905280582482,1.60879298873541,0.895582528447413,1
"X99",4.40877914031751,-3.69980591193515,0.0909216078112146,1
"X100",2.24384580288931,6.58529688615194,0.00530994346237044,1
"X103",24.4704656786576,-7.55177308272804,0.555096352233196,1
"X105",6.60927042156201,-9.32818214232259,0.0670721034511124,1
"X106",10.627853626982,20.2161927390109,0.00063964113647699,1
"X107",-0.498700278182471,-4.75376341440831,0.000863639904170164,1
"X108",0.346217566235192,0.48665326294518,0.0057500501875823,1
"X109",2.75056215502022,7.27471298807322,0.0027076858307789,1
"X111",0.338811595924876,0.989332310577506,0.00511661106747745,1
"X112",0.430382599878603,-5.20403520017729,0.000256834149811581,1
"X114",1.76445965975938,-3.5647157041292,5.77956823195896e-05,1
"X115",9.69489683606144,14.5239782791141,0.86833063260856,1
"X116",28.3888285669296,0.902456131535341,0.297393196124404,1
"X117",-1.81717733232409,-4.13035089271752,0.0965586237070703,1
"X118",8.55688743429508,21.8683778022576,0.00234003164421932,1
"X119",4.73234601982961,-7.49099037656789,0.239739458931336,1
"X120",16.652807258065,8.82493205644305,0.762106396751004,1
"X121",0.334403308508804,0.7626121162438,0.0249506749315698,1
"X124",3.5342312109397,-4.7049060458598,0.0555650831887923,1
"X127",16.4120509235592,-5.12519322004815,0.120892593894197,1
"X129",9.6277722943078,-3.96182550703112,4.18704334298739e-05,1
"X131",1.10462781434749,4.03965547041118,0.696549883689594,1
"X133",6.75742125037567,-4.84655652376271,5.67705645498177e-05,1
"X134",-0.351045602001527,-4.18644003270758,0.000449005799585559,1
"X135",1.16776765650854,-0.0922956003395636,0.133854580586969,1
