"X","a1","d","g","u"
"X1",7.8316754327254,9.93590055595539,0.816522977286388,1
"X2",4.76709336592846,15.6069460565576,0.0372192689648955,1
"X3",1.45205348876574,2.51567729053387,0.00317202658912245,1
"X5",1.9381727014784,5.68031171286116,0.0198863053870102,1
"X6",-0.21305066194223,1.63700303052636,0.0682749645601419,1
"X7",11.8995770897927,-8.47283209575068,0.0831504571562252,1
"X8",8.0954086628337,15.475571545399,0.405109084003413,1
"X10",4.24044886570907,12.8010231357963,0.0311685514925278,1
"X11",4.76709336592846,15.6069460565576,0.0372192689648955,1
"X12",7.63509733374265,4.90012894245819,0.473630514459758,1
"X13",6.93521265612419,10.4721942062003,0.60439078537239,1
"X15",3.98915929769656,-2.68563317006548,0.104763267665414,1
"X16",1.39733169755333,1.02492215050655,0.00481833430732106,1
"X17",1.72424322922808,-1.79326173348497,0.0514042935556213,1
"X18",2.5111989089593,-2.72817306677692,0.543531264457094,1
"X19",4.87531304158039,8.39851704176856,0.901559774874942,1
"X20",2.7339324725297,5.3634290720335,0.00935867769946712,1
"X21",1.81636927844207,2.75788118949591,0.280796701772218,1
"X24",2.99728212642185,9.59366364809225,0.0376428878930459,1
"X26",12.3549279265956,-0.989048882405686,0.185147411224111,1
"X27",0.867118996644105,-0.759641875682505,0.00208289498973737,1
"X29",1.2509345424611,0.754245442624733,0.417280082162959,1
"X30",-0.222524371901338,-3.3600110824723,0.0044011363302288,1
"X31",10.4354940255298,-9.30523189487845,0.228799097617723,1
"X32",7.029433310292,13.0030583556661,0.580937320231376,1
"X35",0.981815603785755,1.10925062921169,0.00393303019740798,1
"X37",0.674094995400328,0.219344797706828,0.00213246413269225,1
"X39",-0.977247469930246,-4.30856228366802,0.000222084299941272,1
"X41",10.7973125486582,-1.37662541581955,0.6742833323515,1
"X42",1.33005994571893,6.3083192084897,0.239262537450521,1
"X43",1.1189769103045,5.99359465713923,0.19831665491474,1
"X45",3.53237727105618,3.14103980009703,0.545066332201271,1
"X48",5.00494462694809,-1.7055515572185,0.174879630034277,1
"X49",1.41669081120294,6.42109456579454,0.27451306274806,1
"X50",4.70526998091345,12.3436594444197,0.779224363867571,1
"X52",0.583148801755451,3.88802626641851,0.170466645914776,1
"X54",7.02553066423815,13.1460226823327,0.692464217393054,1
"X55",-0.231921419818871,2.77409280927651,0.109829535180098,1
"X56",4.14936386426457,11.5202056336644,0.717503775225742,1
"X57",9.50388236622672,9.22015296098704,0.18244279905296,1
"X58",2.83200568867485,6.20704322837429,0.601301786484678,1
"X59",4.73126946700816,-2.13142860519967,0.0240302110553682,1
"X60",3.81972269592458,3.75492729384141,0.17405945373009,1
"X61",-0.23879600283028,-2.31751540023501,0.00189728588722323,1
"X62",8.74430805797335,12.2959493672272,0.64296713440615,1
"X64",0.45506356149359,1.7052252229927,0.0283318953550217,1
"X67",6.29312757759184,17.1770569969237,0.0112345405840977,1
"X68",7.31649055120684,-2.07060187936983,0.272616522266578,1
"X69",1.47283316075619,-3.80897332352514,0.258425048694542,1
"X70",2.23055369864362,7.1896398224943,0.0428229368784887,1
"X72",-1.14302255176002,-4.83311849088651,0.000176763043026116,1
"X73",4.55806925352504,7.44247355337835,0.911847227075882,1
"X76",10.3378714826663,13.8459828148434,0.464588944151214,1
"X77",-0.786949329342113,-1.18230547490067,0.000365250460404799,1
"X78",6.59343196565168,10.3375768759261,0.706197701132794,1
"X82",1.68304773251154,0.500988509750213,0.443319339058644,1
"X84",4.46237624812772,-0.71124888963218,0.211791469991812,1
"X85",7.28179952952887,11.8383560214055,0.592543309470812,1
"X86",6.54888317659099,-3.926233775667,0.363500410396871,1
"X88",3.29128988653912,-3.61499828365177,0.524701826006344,1
"X89",-1.10771372499434,-6.21524596818405,0.000133644064019954,1
"X90",-1.34700274548699,-5.15022811741886,0.000129131132748201,1
"X93",6.71500535510352,1.91898394582873,0.543125077834765,1
"X94",5.00538222155155,4.00802686183514,0.437508301620335,1
