"X","a1","d","g","u"
"X1",2.94849825865491,1.577958607514,0.74590160612523,1
"X2",1.08522418947901,4.85556691564335,0.394797580811187,1
"X3",5.70878070997179,-1.3833424921089,0.164057981060253,1
"X5",1.29045095252574,6.0946518090068,0.307264530826596,1
"X6",-0.119869658029796,1.89305296028507,0.0654563604908898,1
"X7",3.60941830916784,-3.67303293186326,0.0400606776333722,1
"X8",8.29776841830098,11.784639257279,0.723317542937866,1
"X10",6.43628653796062,14.0961395628697,0.754615074478532,1
"X12",4.43874377575901,0.9277839909066,0.426007165128877,1
"X13",9.48202890910774,9.99175989855413,0.761729463699848,1
"X15",4.52567566166767,-3.91149870029033,0.0554618339729973,1
"X16",5.5176776615659,-1.92431220263968,0.047454148608112,1
"X17",2.59989732746139,-3.94462254733041,0.143537942833785,1
"X18",0.537612193917288,1.31384782054741,0.00623402079332925,1
"X19",1.94953119539827,5.20624164230821,0.0170174606653175,1
"X20",13.7416495504593,1.68512045689248,0.528558143162697,1
"X21",3.09058373692844,3.81421068798123,0.00140685542611679,1
"X24",-0.320926245916327,4.98748913497229,0.150497652952342,1
"X26",0.964613131243672,0.101543295664064,0.107107457526775,1
"X27",0.788397276005352,-0.852543378199013,0.00095602497960983,1
"X29",3.0857020132415,-1.26968271322004,0.232300760055555,1
"X30",-0.0528901237708879,-3.33808498266341,0.0414912105539525,1
"X31",3.28048219611927,-3.36778709825015,0.117696029471508,1
"X32",7.5861236969235,11.7545071648531,0.767528675628397,1
"X35",0.865871040569886,1.0575230810694,0.0493821974597165,1
"X37",0.702810495690748,0.558235483728032,0.00135194293003276,1
"X39",-1.03499945865185,-3.96578309934012,0.000125726894387479,1
"X40",-0.891881463098043,-5.84524539804672,0.0001226438750338,1
"X41",4.2868983662841,-2.33736786948288,0.728408002653209,1
"X42",2.13199578788128,4.95951505874497,0.739785976470243,1
"X43",4.76617071044263,8.79216447492995,0.866850314991058,1
"X44",-0.754065864859542,-5.67887808282523,0.000179034447760363,1
"X45",0.446636419079,2.14795317114808,0.195028361437535,1
"X48",1.00122822793719,0.141104514829394,0.00136730827875299,1
"X49",7.73293423417146,8.1999348673789,0.813809446209421,1
"X52",-0.983790560525604,5.26062636619698,0.16180856100425,1
"X53",0.828796623477284,-5.37236566985562,0.000230388045328374,1
"X54",7.35020708741265,11.7536393715963,0.851153897177674,1
"X55",1.33677751444092,3.93561447949693,0.00738340682674208,1
"X56",5.4826006957451,0.12815404270394,0.910509971489795,1
"X57",10.9868971699846,-2.92894739344597,0.136359456726958,1
"X58",1.56321099883204,1.96100874861061,0.831516939629687,1
"X59",3.79695164827103,-3.91844251432025,0.0131735987687701,1
"X60",2.44841615019047,-0.897168981645591,0.510264015835852,1
"X61",-0.568073120912197,-3.63775746788306,0.000623110696998499,1
"X62",1.63517492397232,3.98976422388827,0.00543576505884578,1
"X64",0.663927444969795,1.2444402263329,0.283193251304834,1
"X67",1.85083934226367,4.30170739970209,0.011377187436388,1
"X68",7.12225052046668,-5.31116903977904,0.215669332151351,1
"X69",-0.368045711751121,-0.287560561506331,0.00438050718182128,1
"X70",6.74528809061551,12.3357357010066,0.725220782081093,1
"X72",-1.08873869848047,-4.9838619807467,0.000127548401707033,1
"X73",7.72225434256078,17.8485465753234,0.0661593450006676,1
"X76",2.51415200082397,3.97757748200796,0.00185203304987598,1
"X77",0.0681523633596006,-1.43510525569348,0.0271505885175778,1
"X78",2.48819091779573,3.22873808324826,0.554967716829865,1
"X82",3.5425231410721,-0.944615105698267,0.229688379447413,1
"X84",0.842404653821026,0.44581380559045,0.00479796323906573,1
"X85",2.23672131929217,5.43689241131916,0.0663307620576748,1
"X86",7.5414720820698,-4.50585942552654,0.100559437221027,1
"X88",-0.119449145900783,0.702354493442943,0.0692744961491177,1
"X93",9.42123767327007,-2.71316876129855,0.423145557596988,1
"X94",2.7399868499839,0.0119767737191413,0.564130978709112,1
"X95",1.39969852885865,2.49492212905125,0.020326566528373,1
"X96",5.82194758059624,-1.262825874935,0.0171393359969336,1
"X97",1.92499407083438,-0.495058520371914,0.136990412746057,1
"X98",8.11387791372638,7.29660481252963,0.884599448881216,1
"X99",9.50960049375081,-10.679231156884,0.0802970686314785,1
"X100",1.33833031016867,4.56358622054359,0.0193440041064025,1
"X103",3.28293222818305,-0.682098008931564,0.510043933936413,1
"X105",11.94104178107,-15.6559764299842,0.038526891975721,1
"X106",7.73224267999898,16.3580343758916,0.00204454958804117,1
"X108",0.275576727090695,0.587591900025331,0.0226243587917607,1
"X109",2.49697345481585,7.01249676270402,0.00741820721444332,1
"X111",0.38057543360458,1.20786965942638,0.0108011067466028,1
"X114",2.18777763242175,-3.66812760870369,0.000101625329327004,1
"X115",5.3546117267886,8.72492629572734,0.899469152518148,1
