band_set,band,n_inferences,mean_params_b,mean_prompt_tokens,mean_output_tokens,decode_tps_est,individual_latency_s,amortized_batched_latency_s,batch_speedup_x
fine,0-1B,23838,0.383,677.4,877.6,235.2,3.96,0.248,16.0
fine,1-2B,79171,1.403,672.3,647.6,64.1,10.32,0.74,13.9
fine,2-3B,35757,2.178,749.1,741.1,41.3,18.18,1.041,17.5
fine,3-5B,35757,3.137,680.9,574.0,28.7,20.24,1.212,16.7
fine,5-7B,31784,6.35,715.6,488.8,14.2,34.72,1.644,21.1
outline,0-1B,23838,0.383,677.4,877.6,235.2,3.96,0.248,16.0
outline,1-2B,79171,1.403,672.3,647.6,64.1,10.32,0.74,13.9
outline,2-5B,71514,2.658,715.0,657.6,33.9,19.66,1.127,17.4
outline,5-7B,31784,6.35,715.6,488.8,14.2,34.72,1.644,21.1
