model,pirt_accuracy,theta,n_subset_items,n_all_items,actual_accuracy,se_reached,error,abs_error,squared_error
Telugu-LLM-Labs/Indic-gemma-2b-finetuned-sft-Navarasa-2.0,0.016820698966015058,-0.36292933189869625,13,1183,0.013524936601859678,0.28311128619489795,0.00329576236415538,0.00329576236415538,1.0862049560983061e-05
TheDrummer/Gemmasutra-Mini-2B-v1,0.03558988778763971,0.14351969612883086,8,1183,0.034657650042265425,0.25914945409902257,0.0009322377453742856,0.0009322377453742856,8.690672139005313e-07
VAGOsolutions/SauerkrautLM-Gemma-2b,0.01926539547601072,-0.2652999442622502,12,1183,0.021132713440405747,0.27977786377539776,-0.001867317964395026,0.001867317964395026,3.4868763801523832e-06
Xiaojian9992024/Qwen2.5-Ultra-1.5B-25.02-Exp,0.08138661029539511,0.687220452720595,8,1183,0.09298393913778528,0.21180634036795265,-0.011597328842390175,0.011597328842390175,0.00013449803627853504
Youlln/3PRYMMAL-PHI3-3B-SLERP,0.17508467405313446,1.2692925396708654,8,1183,0.1530008453085376,0.14667080962449894,0.022083828744596856,0.022083828744596856,0.00048769549202068235
ai4bharat/Airavata,0.009419962416076693,-1.0489523005246784,128,1183,0.014370245139475908,0.2977302603087639,-0.004950282723399216,0.004950282723399216,2.450529904158476e-05
allknowingroger/Gemma2Slerp2-2.6B,0.06631095759577105,0.5494701971290281,8,1183,0.10059171597633136,0.21454934634168232,-0.034280758380560314,0.034280758380560314,0.0011751703951463563
bamec66557/VICIOUS_MESH-12B_Razor,0.15606677292717575,1.173911029974937,8,1183,0.14032121724429417,0.19182860781698002,0.01574555568288158,0.01574555568288158,0.0002479225237627244
brgx53/Barracuda-PRYMMAL-ECE-TW3,0.004618790335043676,-1.7465000756054943,400,1183,0.00253592561284869,0.4567271336886498,0.0020828647221949863,0.0020828647221949863,4.338325450964398e-06
bunnycore/Llama-3.2-3B-Booval,0.0833714915210822,0.7041839541718187,8,1183,0.12341504649196956,0.2087089231891468,-0.040043554970887366,0.040043554970887366,0.0016034862947064783
cckm/tinymistral_950m,0.0029603092816062075,-2.0604014021408923,400,1183,0.00253592561284869,0.5417909914073574,0.00042438366875751764,0.00042438366875751764,1.8010149830809046e-07
dwikitheduck/gemma-2-2b-id-inst,0.011408945792164569,-0.6400395573774886,21,1183,0.005917159763313609,0.2992080454410608,0.005491786028850959,0.005491786028850959,3.015971378668259e-05
godlikehhd/alpaca_data_ins_min_2600,0.0833714915210822,0.7041839541718187,8,1183,0.1073541842772612,0.2087089231891468,-0.023982692756179008,0.023982692756179008,0.0005751695518372811
godlikehhd/qwen-2.5-1.5b-cherry,0.07738844406752943,0.6519797434049716,8,1183,0.1073541842772612,0.204986331735695,-0.029965740209731778,0.029965740209731778,0.0008979455863171359
godlikehhd/qwen_2.5-1.5b-cherry_new,0.0833714915210822,0.7041839541718187,8,1183,0.0989010989010989,0.2087089231891468,-0.0155296073800167,0.0155296073800167,0.00024116870537746913
google/gemma-2-2b-it,0.0038117432824672634,-1.5680534127941566,400,1183,0.0008453085376162299,0.4078052184907466,0.0029664347448510337,0.0029664347448510337,8.799735095459418e-06
google/recurrentgemma-2b,0.01805749856575146,-0.30527103831442765,11,1183,0.01775147928994083,0.2974289300008397,0.0003060192758106324,0.0003060192758106324,9.364779716766391e-08
hotmailuser/QwenModelStock-1.8B,0.09555612925373703,0.7980622347812475,8,1183,0.08875739644970414,0.19627805324549202,0.006798732804032898,0.006798732804032898,4.622276774063303e-05
ibm-granite/granite-3.0-2b-base,0.04009880552039969,0.22082944828609088,8,1183,0.05409974640743871,0.25054604036045103,-0.014000940887039022,0.014000940887039022,0.00019602634572236103
ibm-granite/granite-3.0-3b-a800m-instruct,0.04742065390013338,0.33031918544467054,8,1183,0.06339814032121724,0.2363253536181868,-0.01597748642108386,0.01597748642108386,0.0002552800723359192
ibm-granite/granite-3.1-1b-a400m-base,0.019848897165080107,-0.2436955798378778,10,1183,0.023668639053254437,0.28995567026440405,-0.0038197418881743307,0.0038197418881743307,1.4590428092273601e-05
ibm-granite/granite-7b-instruct,0.006304625515774206,-1.4021575021683748,400,1183,0.006762468300929839,0.3841941913185209,-0.0004578427851556332,0.0004578427851556332,2.096200159190673e-07
jaspionjader/test-13,0.1368771774781269,1.0666727859988643,8,1183,0.11834319526627218,0.16389486147304547,0.018533982211854705,0.018533982211854705,0.0003435084966293466
