model,theta_cat,theta_full,n_subset_items,se_reached,theta_abs_error
netcat420/MFANN-abliterated-phi2-merge-unretrained,-0.18071072532485513,-0.17568909666406918,400,0.11431066429847135,0.005021628660785954
netcat420/MFANN3bv0.18,-0.31838454523706283,-0.22955975230034245,400,0.12883665239828576,0.08882479293672038
open-atlas/Atlas-Flash-1.5B-Preview,0.16532174941546973,0.26734840356626133,101,0.09950962133708528,0.1020266541507916
pankajmathur/orca_mini_v9_5_1B-Instruct,0.10941435417839483,0.02861510745196057,126,0.09892592241237115,0.08079924672643427
pankajmathur/orca_mini_v9_6_3B-Instruct,0.49676339935119534,0.7131927734168566,52,0.099983332614857,0.21642937406566126
prithivMLmods/Llama-Deepsync-1B,0.13286083069962748,0.20394407083381808,119,0.09869886488545457,0.0710832401341906
qingy2024/Qwen2.5-4B,0.49462998537197794,0.22648640665686195,54,0.09879523271193356,0.26814357871511596
saishshinde15/TethysAI_Vortex_Reasoning,1.3169296008986846,1.498897797612522,19,0.09643074210518848,0.18196819671383735
sumink/Qwenftmodel,0.7593132384248985,0.7382318634230252,43,0.099990367864263,0.021081375001873348
sumink/llamaft,-1.2011698500212185,-1.1197302483921394,400,0.3142693305331583,0.08143960162907904
tiiuae/Falcon3-3B-Instruct,1.3398496253535261,1.6001776330268758,15,0.0994069965202051,0.2603280076733496
tinycompany/SigmaBoi-bge-m3,0.4584984181838625,0.6405296051956206,56,0.09988779540232895,0.18203118701175813
tinycompany/Tamed-Shawty,0.5528223702226208,0.5960365569836561,49,0.09959813443563542,0.04321418676103528
viettelsecurity-ai/security-llama3.2-3b,0.9059232458532247,1.0128008440688265,31,0.09998186520200257,0.10687759821560183
voidful/smol-360m-ft,-1.6196765822336736,-1.638279893024968,400,0.4209452721177204,0.018603310791294403
vonjack/Phi-3-mini-4k-instruct-LLaMAfied,1.2251135369173518,1.1197575795078842,19,0.09940469389239812,0.10535595740946757
weathermanj/Menda-3b-Optim-200,1.5262984585077763,1.9058115046602055,10,0.09290768182189782,0.3795130461524292
win10/Qwen2.5-2B-Instruct,-1.7006038971210722,-1.721292934579971,400,0.4443001247043799,0.02068903745889883
ymcki/gemma-2-2b-jpn-it-abliterated-17-ORPO,0.3533473712192299,0.34343444830208525,65,0.09931620540410539,0.009912922917144629
yuchenxie/ArlowGPT-3B-Multilingual,0.694203362888641,0.8602296942621911,43,0.09922087518114334,0.16602633137355005
