criterion_id,a_correctness,a_scaffolding,b,n_persons,a_se_approx
tb_0018_c02,1.818322,0.0,3.86084,115,0.55505
tb_0018_c03,3.701896,8.859567,12.754475,114,2.024992
tb_0018_c04,1.030962,0.0,3.024439,115,0.346184
tb_0019_c01,1.061423,0.0,2.17181,114,0.284387
tb_0019_c02,0.926539,0.0,2.211562,115,0.257399
tb_0019_c03,1.026598,0.0,1.231818,109,0.235727
tb_0019_c04,1.499258,0.0,5.628744,115,0.805719
tb_0019_c05,0.886,0.0,2.836575,115,0.303174
tb_0019_c06,0.403355,0.0,1.467079,115,0.140015
tb_0019_c07,0.336863,0.0,2.937281,115,0.237136
tb_0019_c08,0.498038,0.0,3.552694,115,0.33675
tb_0019_c09,0.466762,0.0,3.209299,82,0.327406
tb_0019_c10,1.487486,0.0,0.833492,82,0.35481
tb_0019_c11,0.589834,0.0,2.340837,82,0.247135
tb_0019_c12,1.272395,0.0,5.704416,82,0.956971
tb_0020_c02,6.073495,0.0,19.695755,115,4.422169
tb_0020_c06,0.38072,0.0,1.449091,114,0.13752
tb_0020_c07,0.321355,0.0,1.965741,115,0.157683
tb_0020_c08,0.408064,0.0,2.440067,115,0.199229
tb_0020_c09,0.482957,0.0,1.628343,115,0.155732
tb_0020_c10,-0.35314,0.0,5.36267,115,0.603206
tb_0020_c11,0.408064,0.0,2.440067,115,0.199229
tb_0020_c12,0.114363,0.0,1.170039,115,0.109812
tb_0020_c13,0.689944,-0.772715,-1.929582,80,0.256343
tb_0021_c01,1.445578,0.0,3.12703,115,0.428605
tb_0021_c02,1.04031,0.0,1.378282,114,0.229684
tb_0021_c03,5.932842,-0.599478,19.835675,115,4.479058
tb_0021_c04,0.156372,-1.182311,3.712645,115,0.365788
tb_0021_c05,0.822502,0.0,1.060255,115,0.177571
tb_0021_c06,1.710086,0.0,3.514134,115,0.508562
tb_0021_c07,-0.166392,0.0,4.272973,115,0.371073
tb_0022_c02,1.868555,0.0,4.234689,114,0.612262
tb_0022_c03,1.372348,0.0,6.154075,115,0.988458
tb_0022_c04,1.372348,0.0,6.154075,115,0.988458
