benchmark,strategy,N,seed,se_target,r,mae,items,n_bank_items,n_test,calib_s
ifeval,random,50,4,0.3,0.8908,0.0691,19.41,479,110,23.4
ifeval,random,80,0,0.3,0.8798,0.0645,22.64,490,110,25.4
ifeval,random,80,1,0.3,0.901,0.0609,28.58,485,110,30.7
ifeval,random,80,2,0.3,0.8656,0.0677,19.5,500,110,25.5
ifeval,random,80,3,0.3,0.8337,0.0703,16.65,500,110,26.9
ifeval,random,80,4,0.3,0.8992,0.0587,19.86,498,110,24.8
ifeval,random,120,0,0.3,0.9303,0.0486,19.7,504,110,28.0
ifeval,random,120,1,0.3,0.9103,0.0543,20.34,495,110,26.6
ifeval,random,120,2,0.3,0.9229,0.0542,18.94,499,110,26.1
ifeval,random,120,3,0.3,0.9135,0.0524,29.15,495,110,28.6
ifeval,random,120,4,0.3,0.9191,0.0505,25.56,493,110,27.0
math,ability_spread,10,0,0.2,0.8024,0.1177,173.07,777,90,57.5
math,ability_spread,20,0,0.2,0.7524,0.0448,220.32,846,90,81.0
math,ability_spread,30,0,0.2,0.814,0.055,171.27,894,90,88.1
math,ability_spread,50,0,0.2,0.8565,0.0318,235.21,999,90,134.4
math,ability_spread,80,0,0.2,0.8659,0.0275,241.61,1039,90,146.9
math,ability_spread,120,0,0.2,0.8987,0.0246,225.63,1062,90,129.3
math,ability_spread,10,0,0.3,0.8012,0.1188,115.79,777,90,57.5
math,ability_spread,20,0,0.3,0.7516,0.0454,190.44,846,90,81.0
math,ability_spread,30,0,0.3,0.8138,0.0556,139.62,894,90,88.1
math,ability_spread,50,0,0.3,0.8593,0.0331,163.82,999,90,134.4
math,ability_spread,80,0,0.3,0.8739,0.0289,176.02,1039,90,146.9
math,ability_spread,120,0,0.3,0.897,0.0263,159.88,1062,90,129.3
math,diverse,10,0,0.2,0.8069,0.05,75.54,876,90,91.3
math,diverse,20,0,0.2,0.6875,0.1205,17.14,861,90,47.0
math,diverse,30,0,0.2,0.8343,0.1259,16.83,931,90,54.8
math,diverse,50,0,0.2,0.8744,0.0654,129.23,1017,90,88.6
math,diverse,80,0,0.2,0.8492,0.0432,335.22,1072,90,176.6
math,diverse,120,0,0.2,0.8846,0.0254,565.52,1086,90,205.7
math,diverse,10,0,0.3,0.7892,0.0554,22.28,876,90,91.3
math,diverse,20,0,0.3,0.6845,0.1254,8.0,861,90,47.0
math,diverse,30,0,0.3,0.837,0.1293,8.01,931,90,54.8
math,diverse,50,0,0.3,0.8888,0.0799,19.01,1017,90,88.6
math,diverse,80,0,0.3,0.8922,0.0647,40.92,1072,90,176.6
math,diverse,120,0,0.3,0.8559,0.0476,203.58,1086,90,205.7
math,random,10,0,0.2,0.7641,0.0902,86.38,296,90,14.4
math,random,10,1,0.2,0.7123,0.0824,105.68,390,90,30.3
math,random,10,2,0.2,0.8237,0.06,137.88,585,90,48.4
math,random,10,3,0.2,0.804,0.0581,106.0,497,90,26.2
math,random,10,4,0.2,0.6386,0.1184,70.0,214,90,13.1
math,random,20,0,0.2,0.6914,0.0865,108.57,388,90,22.3
math,random,20,1,0.2,0.7901,0.0817,119.57,413,90,34.7
math,random,20,2,0.2,0.8838,0.0442,151.19,588,90,52.4
math,random,20,3,0.2,0.8069,0.0555,152.8,575,90,49.4
math,random,20,4,0.2,0.5212,0.0657,196.88,894,90,103.6
math,random,30,0,0.2,0.71,0.0734,163.64,653,90,48.8
math,random,30,1,0.2,0.7362,0.0548,153.13,726,90,64.1
math,random,30,2,0.2,0.7444,0.0533,177.79,635,90,58.2
