model,n_obs_items,theta_full_correctness,theta_full_scaffolding,theta_cat_correctness,theta_cat_scaffolding,cat_n_items,n_cross_correctness,n_cross_scaffolding,n_cross_overall,converged_overall,final_se_correctness,final_se_scaffolding,obs_acc,pred_acc_cat,pred_acc_full
bigscience/bloomz-7b1,3463,-3.7504397177257425,2.366759410734541,-2.506481093876423,2.00640823310997,50,50,10,50,True,0.29447419114136375,0.13137677548449714,0.06439503320820099,0.07930007619256471,0.06976583472573829
deepseek-ai/deepseek-coder-6.7b-base,3449,-1.1544053947399977,-2.959197327489326e-14,-0.6766308527841902,0.09509063763806398,32,32,12,32,True,0.2940458998806029,0.21234198748000452,0.0936503334299797,0.10764635836736289,0.0870437441980575
deepseek-ai/deepseek-llm-7b-base,3428,-2.366759410734543,8.329547861849882e-16,-1.4885873783401407,0.08066322339787985,23,23,13,23,True,0.29806942112036583,0.2557756505562864,0.056592765460910154,0.07596301589937865,0.05569875310430742
deepseek-ai/deepseek-math-7b-base,3448,-3.7504397177257536,1.153995457529606,-1.9463307214299734,0.9667327906969453,35,35,11,35,True,0.2930868100074232,0.195215050624564,0.0382830626450116,0.07528351190107332,0.054984864075171586
facebook/opt-1.3b,3457,-2.366759410734545,1.1544053947399682,-2.1846981333585553,1.1556631052589819,35,35,11,35,True,0.29726423902735516,0.19123235899455282,0.08244142319930575,0.07327822469334386,0.07007172479349458
facebook/opt-2.7b,3451,-2.3667594107345415,1.1544053947399686,-1.8319351288713472,1.0876705850047665,44,44,11,44,True,0.2978365306721002,0.1716898353572832,0.08142567371776296,0.08015721516081763,0.07043332441832677
facebook/opt-6.7b,3453,-2.3667594107345336,1.1544053944064856,-1.8507213724493254,0.8469718657169287,35,35,11,35,True,0.295590225780755,0.19402980780330822,0.07124239791485665,0.07716842189802886,0.07071633968394919
google/gemma-2-2b,3439,-1.1544053947399797,-1.1587292859453797e-14,-0.5802220714351981,-0.17365654031852504,25,25,12,25,True,0.2987792047310878,0.24313121814677413,0.09188717650479791,0.11023997380946753,0.08729963813850068
h2oai/h2o-danube2-1.8b-base,3443,-1.1544053947400017,-1.821450457676672e-06,-0.5117447036054753,-0.10426586657754933,22,22,15,22,True,0.2953551961050523,0.26798951499583296,0.07057798431600348,0.11332135144998137,0.08615147827116097
h2oai/h2o-danube3-4b-base,3436,-1.2477610056737757e-71,-1.154405394726319,0.17407986349854349,-0.6985864845744024,14,10,14,14,True,0.24988439496838355,0.29807647727837816,0.1478463329452852,0.15319555524220388,0.13898529787462288
ibm-granite/granite-3.0-2b-base,3394,1.1544053947399682,-4.317472301345306e-33,0.33582291824266075,0.8068046491086368,9,9,8,9,True,0.29739309519439977,0.2691837287703716,0.20506776664702417,0.18311765977446073,0.25503662508426184
ibm-granite/granite-3.1-2b-base,3401,1.1544053947399682,-5.553645020114162e-18,0.06323798226332486,0.9075369426158841,13,13,8,13,True,0.29530927238607674,0.23235998748733636,0.20258747427227286,0.16334753916085423,0.25462570495189585
ibm-granite/granite-3.1-2b-instruct,3407,1.1544053947399682,-2.2662641882319092e-21,1.0998783544517958,-0.19229946809491416,27,4,27,27,True,0.07270361227393703,0.28955287917480343,0.2838274141473437,0.247741409837569,0.2566504718555217
lmsys/vicuna-7b-v1.5,3402,-3.05811349202447e-55,3.5777984624053216e-17,0.13107880000448138,0.3192174815256455,14,14,11,14,True,0.297707201753549,0.27101277896331477,0.15167548500881833,0.1605598233233082,0.14742125248346688
meta-llama/Llama-3.2-1B,3405,-2.366760012789961,1.1532976155515528e-13,-1.4286729659829744,0.02993997618762696,25,25,12,25,True,0.2974551546895998,0.2396470407949159,0.04875183553597651,0.07803993020617606,0.05647444005118221
meta-llama/Llama-3.2-1B-Instruct,3402,-1.0642811197905595e-09,-1.1544053947400184,-0.4260934229553644,-0.6329494005109915,22,22,13,22,True,0.2945329521125648,0.24706532299732478,0.10346854791299236,0.11405427064745746,0.13807832202100093
meta-llama/Llama-3.2-3B,3451,-1.4151592136066028e-17,-9.193735386577237e-14,0.14970460344367748,-0.40025831636840664,17,5,17,17,True,0.2047547280840746,0.2949453050392606,0.11822660098522167,0.15332113066561273,0.14633419202799042
meta-llama/Llama-3.2-3B-Instruct,3383,1.1544053947399682,1.1544053947399682,1.2047136830932177,0.7308435567945575,5,5,5,5,True,0.19086142222733254,0.25391846191425477,0.27638190954773867,0.2724990940821914,0.27427969655075923
microsoft/Phi-3-mini-4k-instruct,3431,2.741312830629121e-62,1.1544053947399682,0.9492096077273181,0.8018584968181857,5,5,5,5,True,0.2650962041063338,0.26116008744425273,0.17050422617312735,0.2428523335394879,0.16287342973243055
microsoft/Phi-3.5-mini-instruct,3424,1.1544053947398951,-1.8938097958519252e-13,1.144339343078342,1.521564986528214,30,4,30,30,True,0.09212732106743654,0.21277518196314305,0.27307242990654207,0.2811087538097866,0.2559451692800194
microsoft/phi-1_5,3458,-2.366759410734541,4.388251398814456e-17,-1.3077228802271987,-0.288191134633972,22,22,12,22,True,0.29175204665429466,0.26206772003631434,0.054945054945054944,0.07818337602812032,0.055740212583616486
microsoft/phi-2,3426,-8.377957902058776e-77,1.713605020917608e-11,-0.001771087838959108,-0.1688847326993139,17,5,17,17,True,0.2270766036433096,0.2897545413857909,0.15761821366024517,0.14410618885770424,0.14594367615050988
mistralai/Mistral-7B-Instruct-v0.3,3412,1.1544053947399682,5.910007807079031e-18,1.1682297357244624,-0.12533867928688805,8,8,8,8,True,0.23032349618120823,0.26688908783711296,0.25205158264947247,0.2563747548436015,0.2562326706561021
mistralai/Mistral-7B-v0.1,3345,1.946174669188256e-28,7.989110580798368e-19,0.1767226777174733,0.07460889899745937,13,9,13,13,True,0.24036616292265153,0.28521007054317027,0.1961136023916293,0.16001852691476826,0.14639699469766648
mistralai/Mistral-7B-v0.3,3324,1.1544053947399682,2.1298367951123887e-23,1.015381597837827,-0.2543705190661117,29,4,29,29,True,0.07355081751681186,0.29706949237088814,0.20968712394705175,0.2344932804935415,0.2535519854633341
nvidia/Nemotron-Mini-4B-Instruct,3421,-2.7644359672907297e-53,-5.505010117296502e-12,-0.0020202471187902096,-0.17637630212919347,11,11,10,11,True,0.29845222789188586,0.2879321416036924,0.1417714118678749,0.14439434246966476,0.14624376332415537
openai-community/gpt2,3465,-3.7504397177257425,1.1544053947399684,-2.227498681785048,1.3172611343200529,41,41,11,41,True,0.295957507339064,0.18048383284374794,0.0455988455988456,0.07403044395092778,0.055479923317212514
openai-community/gpt2-large,3464,-3.7504397174582333,1.1544053947399633,-2.1797338224094895,1.117967140317887,42,42,11,42,True,0.29494399948282835,0.17402388680111727,0.05715935334872979,0.0732674653246955,0.05605255169936397
